anio,total_activos_mm,total_pasivos_mm,patrimonio_total_mm,patrimonio_atribuible_propietarios_mm,creditos_clientes_total_mm,creditos_comerciales_mm,creditos_vivienda_mm,creditos_consumo_mm,ingreso_neto_intereses_mm,ingreso_neto_reajustes_mm,ingreso_neto_intereses_y_reajustes_mm,total_ingresos_operacionales_mm,total_gastos_operacionales_mm,gasto_perdidas_crediticias_o_provisiones_mm,utilidad_atribuible_propietarios_mm,observacion
2020,35638632,33250306,2388326,2315411,21685269,,,,,,836164,1078433,1627914,528459,-925479,“EEFF Itaú Corpbanca; formato 2020-2021 combina intereses y reajustes; año afectado por deterioros relevantes”
2021,37784282,34431940,3352342,3277800,23955972,,,,,,939787,1326196,714897,221686,277806,“EEFF Itaú Corpbanca; formato 2020-2021 combina intereses y reajustes”
2022,40504299,37181540,3322759,3320109,25903788,16005715,6993091,2904982,916412,204945,1121357,1449280,755052,291949,433744,“Banco Itaú Chile; cifras comparativas desde EEFF 2023”
2023,41970270,38233733,3736537,3733075,26744561,16240136,7480794,3023631,1079389,39126,1118515,1501992,767247,350078,354887,“Banco Itaú Chile; cifras del ejercicio 2023”
2024,42531714,38556883,3974831,3971313,27055397,16217293,7874029,2964075,1062319,115836,1178155,1625751,808824,323855,376627,“Banco Itaú Chile; cifras del ejercicio 2024”
2025,43916278,39607525,4308753,4305006,28119106,16547863,8520104,3051139,1116737,9340,1126077,1518134,834789,319329,428092,“Banco Itaú Chile; cifras del ejercicio 2025”
